title,text,repo,category,requirement,status,techs,notes,comments,favorites
Project A,Description of project A,https://example.com,Frontend,Junior,Done,"Python, Django",Some notes,,
Project B,Description of project B,https://example.com,Fullstack,Advanced,Done,"JavaScript, React",More notes,,
Carousel-Bootstrap,"Carousel of AI generated images with prompts, check",https://github.com/ajkun55/Carousel-Bootstrap,Frontend,Junior,Done,"HTML,CSS",,,
Cards-Project,Task management using cards web design,https://github.com/ajkun55/Cards-Project,Frontend,Junior,Done,"HTML,CSS",,,
Website-With-Auto-Image-SlideShow,Website-With-Auto-Image-SlideShow,https://github.com/ajkun55/Website-With-Auto-Image-SlideShow,Frontend,Junior,Done,"HTML,CSS",,,
Coming-soon-pages-bootstrap,Coming-soon-pages-bootstrap,https://github.com/ajkun55/Coming-soon-pages-bootstrap,Frontend,Junior,Done,"HTML,CSS",,,
Blog-Webpage,"A light concise webpage using Pure-css framework, the contents are generated by ChatGPT",https://github.com/ajkun55/Blog-Webpage,Frontend,Junior,Done,"HTML,CSS",,,
Four-Card-Feature-Section,This is a solution to the?feature section?challenge on Frontend Mentor.?,https://github.com/ajkun55/four-card-feature-section,Frontend,Junior,Done,"HTML,CSS",,,
Sunnyside agency landing page,This is a solution to the?Sunnyside agency landing page challenge on Frontend Mentor.?,https://github.com/ajkun55/Sunnyside-agency-landing-page,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
Ping coming soon page,This is my solution to the?Ping coming soon page challenge on Frontend Mentor.?,https://github.com/ajkun55/Ping-single-column-coming-soon-page,Frontend,Junior,Done,"HTML,CSS,Javascript",,,
Blog preview card,This is my solution to the?Blog preview card challenge on Frontend Mentor.?,https://github.com/ajkun55/Blog-preview-card,Frontend,Junior,Done,"HTML,CSS",,,
Product preview card component,This is a solution to the?Product preview card component challenge on Frontend Mentor.,https://github.com/ajkun55/Product-preview-card-component,Frontend,Junior,Done,"HTML,CSS",,,
Huddle-landing-page-with-a-single-introductory-section,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Huddle-landing-page-with-a-single-introductory-section,Frontend,Junior,Done,"HTML,CSS",,,
3-column preview card component,This is a solution to the?3-column preview card component challenge on Frontend Mentor.,https://github.com/ajkun55/3-column-preview-card-component,Frontend,Junior,Done,"HTML,CSS",,,
Intro component with sign up form,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Intro-component-with-sign-up-form,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
Base Apparel coming soon page,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Base-Apparel-coming-soon-page,Frontend,Junior,Done,"HTML,CSS,Javascript",,,
Social proof section,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Social-proof-section,Frontend,Junior,Done,"HTML,CSS",,,
Interactive rating component,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Interactive-rating-component,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
Single price grid component,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Single-price-grid-component,Frontend,Junior,Done,"HTML,CSS",,,
Stats preview card component,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Stats-preview-card-component,Frontend,Junior,Done,"HTML,CSS",,,
QR code component,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/QR-code-component,Frontend,Junior,Done,"HTML,CSS",,,
Social links profile,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Social-links-profile,Frontend,Junior,Done,"HTML,CSS",,,
?Recipe page,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Recipe-page,Frontend,Junior,Done,"HTML,CSS",,,
Results summary component,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Results-summary-component,Frontend,Junior,Done,"HTML,CSS",,,
Stream-Pro-Product-landing-page,A web page for stream company.,https://github.com/ajkun55/Stream-Pro-Product-landing-page,Frontend,Mid-level,Done,"HTML,CSS",,,
Tech-Homepage,"A light concise webpage of a tech company Landing page using Semantic-UI library, the contents are generated by GPT",https://github.com/ajkun55/Tech-Homepage,Frontend,Mid-level,Done,"HTML,CSS",,,
Personal-Portfolio-Webpage,Personal-Portfolio-Webpage,https://github.com/ajkun55/Personal-Portfolio-Webpage,Frontend,Mid-level,Done,"HTML,CSS",,,
NFT preview card component,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/NFT-preview-card-component,Frontend,Junior,Done,"HTML,CSS",,,
Profile card component,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Profile-card-component,Frontend,Junior,Done,"HTML,CSS",,,
Order summary card,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Order-summary-component,Frontend,Junior,Done,"HTML,CSS",,,
